Place,Division Place,Division Entrants,Division,Age,Sex,State/Country,Time (seconds),Mile pace (seconds),From USA,Maine,Time (minutes)
67,19,246,M2529,27,M,MA,2047.5,330,Yes,Away,34.125
68,20,186,M2024,21,M,MA,2048.7,330,Yes,Away,34.145
69,21,186,M2024,21,M,ME,2048.9,330,Yes,Maine,34.148
70,22,186,M2024,20,M,ME,2052,331,Yes,Maine,34.2
71,4,335,M3539,39,M,ME,2053.4,331,Yes,Maine,34.223
72,6,316,M3034,32,M,ME,2060.2,332,Yes,Maine,34.337
73,20,246,M2529,29,M,ME,2068.6,333,Yes,Maine,34.477
74,1,426,F3539,39,F,KENYA,2070.4,334,No,Away,34.507
75,4,412,M4044,43,M,VT,2072.5,334,Yes,Away,34.542
76,5,412,M4044,44,M,ME,2073.4,334,Yes,Maine,34.557
77,3,357,M4549,49,M,ME,2084.9,336,Yes,Maine,34.748
78,2,333,M5054,50,M,ME,2088.5,337,Yes,Maine,34.808
79,6,201,M1519,16,M,NH,2089.3,337,Yes,Away,34.822
80,4,471,F3034,34,F,JAPAN,2090.4,337,No,Away,34.84
81,23,186,M2024,20,M,NY,2090.7,337,Yes,Away,34.845
82,7,316,M3034,32,M,MA,2091.2,337,Yes,Away,34.853
83,1,235,M5559,55,M,WA,2093.4,337,Yes,Away,34.89
84,5,335,M3539,38,M,ME,2094.8,338,Yes,Maine,34.913
85,24,186,M2024,21,M,ME,2095.7,338,Yes,Maine,34.928
86,25,186,M2024,22,M,ME,2096,338,Yes,Maine,34.933
87,8,316,M3034,30,M,NY,2096.7,338,Yes,Away,34.945
88,7,201,M1519,19,M,ME,2104.4,339,Yes,Maine,35.073
89,2,394,F4044,40,F,ME,2109,340,Yes,Maine,35.15
90,8,201,M1519,17,M,ME,2109.8,340,Yes,Maine,35.163
91,9,201,M1519,17,M,ME,2109.9,340,Yes,Maine,35.165
92,26,186,M2024,23,M,MA,2114.8,341,Yes,Away,35.247
93,6,412,M4044,40,M,ME,2115.5,341,Yes,Maine,35.258
94,10,201,M1519,16,M,ME,2116.4,341,Yes,Maine,35.273
95,27,186,M2024,23,M,ME,2116.6,341,Yes,Maine,35.277
96,28,186,M2024,20,M,ME,2118.1,341,Yes,Maine,35.302
97,11,201,M1519,17,M,ME,2121.2,342,Yes,Maine,35.353
98,9,316,M3034,33,M,NC,2124.1,342,Yes,Away,35.402
99,2,237,F2024,23,F,NJ,2124.3,342,Yes,Away,35.405
100,6,397,F2529,27,F,CA,2125.5,343,Yes,Away,35.425
101,7,412,M4044,44,M,ME,2129.3,343,Yes,Maine,35.488
102,10,316,M3034,30,M,ME,2134.6,344,Yes,Maine,35.577
103,3,237,F2024,22,F,ME,2135.2,344,Yes,Maine,35.587
104,8,412,M4044,42,M,ME,2138,345,Yes,Maine,35.633
105,29,186,M2024,21,M,NH,2139.9,345,Yes,Away,35.665
106,12,201,M1519,15,M,ME,2141.4,345,Yes,Maine,35.69
107,13,201,M1519,19,M,ME,2141.9,345,Yes,Maine,35.698
108,11,316,M3034,31,M,ME,2142.2,345,Yes,Maine,35.703
109,9,412,M4044,44,M,ME,2144.9,346,Yes,Maine,35.748
110,14,201,M1519,17,M,FL,2145.7,346,Yes,Away,35.762
111,30,186,M2024,20,M,ME,2146.2,346,Yes,Maine,35.77
112,4,237,F2024,23,F,JAPAN,2147.6,346,No,Away,35.793
113,21,246,M2529,27,M,NH,2149,346,Yes,Away,35.817
114,15,201,M1519,16,M,ME,2150.9,347,Yes,Maine,35.848
115,10,412,M4044,41,M,ME,2153.7,347,Yes,Maine,35.895
116,7,397,F2529,26,F,CA,2154.6,347,Yes,Away,35.91
117,22,246,M2529,29,M,MA,2156.4,348,Yes,Away,35.94
118,12,316,M3034,30,M,MA,2159.6,348,Yes,Away,35.993
119,8,397,F2529,25,F,PA,2160.7,348,Yes,Away,36.012
120,16,201,M1519,19,M,ME,2162.8,349,Yes,Maine,36.047
121,13,316,M3034,30,M,MA,2165.2,349,Yes,Away,36.087
122,23,246,M2529,28,M,ME,2169.7,350,Yes,Maine,36.162
123,24,246,M2529,26,M,ME,2171.5,350,Yes,Maine,36.192
124,3,333,M5054,51,M,ME,2179,351,Yes,Maine,36.317
125,14,316,M3034,32,M,ME,2180.6,351,Yes,Maine,36.343
126,9,397,F2529,28,F,MA,2181.3,352,Yes,Away,36.355
127,17,201,M1519,18,M,ME,2182.3,352,Yes,Maine,36.372
128,18,201,M1519,19,M,ME,2183.6,352,Yes,Maine,36.393
129,25,246,M2529,26,M,NJ,2185.2,352,Yes,Away,36.42
130,19,201,M1519,17,M,ME,2185.9,352,Yes,Maine,36.432
131,11,412,M4044,43,M,ME,2189.5,353,Yes,Maine,36.492
132,20,201,M1519,19,M,ME,2191.2,353,Yes,Maine,36.52
133,2,235,M5559,57,M,VT,2191.6,353,Yes,Away,36.527
134,26,246,M2529,29,M,ME,2194.6,354,Yes,Maine,36.577
135,27,246,M2529,28,M,CT,2194.6,354,Yes,Away,36.577
136,10,397,F2529,27,F,MA,2195.7,354,Yes,Away,36.595
137,31,186,M2024,21,M,ME,2197.9,354,Yes,Maine,36.632
138,4,357,M4549,45,M,MA,2199,354,Yes,Away,36.65
139,12,412,M4044,40,M,ME,2200.4,355,Yes,Maine,36.673
140,32,186,M2024,20,M,ME,2203.6,355,Yes,Maine,36.727
141,6,335,M3539,39,M,PA,2204,355,Yes,Away,36.733
142,3,235,M5559,55,M,ME,2205.8,355,Yes,Maine,36.763
143,5,357,M4549,49,M,VA,2206.6,356,Yes,Away,36.777
144,4,333,M5054,50,M,ME,2209.6,356,Yes,Maine,36.827
145,21,201,M1519,17,M,ME,2211.1,356,Yes,Maine,36.852
146,7,335,M3539,38,M,MA,2211.2,356,Yes,Away,36.853
147,22,201,M1519,19,M,ME,2213.4,357,Yes,Maine,36.89
148,23,201,M1519,18,M,ME,2214.5,357,Yes,Maine,36.908
149,33,186,M2024,20,M,ME,2214.9,357,Yes,Maine,36.915
150,34,186,M2024,22,M,ME,2215,357,Yes,Maine,36.917
151,24,201,M1519,17,M,ME,2215.1,357,Yes,Maine,36.918
152,15,316,M3034,30,M,ME,2216.2,357,Yes,Maine,36.937
153,13,412,M4044,43,M,ME,2220.1,358,Yes,Maine,37.002
154,35,186,M2024,20,M,ME,2221.4,358,Yes,Maine,37.023
155,28,246,M2529,26,M,MA,2223.4,358,Yes,Away,37.057
156,16,316,M3034,34,M,ME,2223.9,358,Yes,Maine,37.065
157,17,316,M3034,31,M,ME,2229.7,359,Yes,Maine,37.162
158,8,335,M3539,37,M,ME,2231.3,360,Yes,Maine,37.188
159,18,316,M3034,33,M,ME,2232,360,Yes,Maine,37.2
160,5,471,F3034,33,F,CT,2233.9,360,Yes,Away,37.232
161,36,186,M2024,20,M,CANADA,2238.1,361,No,Away,37.302
162,19,316,M3034,33,M,ME,2239,361,Yes,Maine,37.317
163,37,186,M2024,20,M,MA,2242.5,361,Yes,Away,37.375
164,25,201,M1519,17,M,VT,2242.8,361,Yes,Away,37.38
165,38,186,M2024,21,M,ME,2247.4,362,Yes,Maine,37.457
166,9,335,M3539,38,M,MA,2251.2,363,Yes,Away,37.52
167,39,186,M2024,21,M,ME,2251.9,363,Yes,Maine,37.532
168,26,201,M1519,17,M,ME,2253.9,363,Yes,Maine,37.565
169,27,201,M1519,18,M,ME,2258.5,364,Yes,Maine,37.642
170,28,201,M1519,17,M,ME,2259,364,Yes,Maine,37.65
171,29,201,M1519,17,M,ME,2259.3,364,Yes,Maine,37.655
172,4,235,M5559,56,M,FL,2260.3,364,Yes,Away,37.672
173,20,316,M3034,32,M,PA,2269.2,366,Yes,Away,37.82
174,30,201,M1519,17,M,ME,2270.3,366,Yes,Maine,37.838
175,31,201,M1519,18,M,ME,2271.2,366,Yes,Maine,37.853
176,29,246,M2529,26,M,CA,2275.2,367,Yes,Away,37.92
177,40,186,M2024,24,M,ME,2276,367,Yes,Maine,37.933
178,32,201,M1519,16,M,ME,2276.2,367,Yes,Maine,37.937
179,30,246,M2529,28,M,ME,2278.5,367,Yes,Maine,37.975
180,6,357,M4549,45,M,ME,2280.1,367,Yes,Maine,38.002
181,2,426,F3539,35,F,ME,2281,368,Yes,Maine,38.017
182,31,246,M2529,25,M,ME,2285.5,368,Yes,Maine,38.092
183,7,357,M4549,49,M,NH,2286.8,369,Yes,Away,38.113
184,32,246,M2529,25,M,ME,2287.3,369,Yes,Maine,38.122
185,10,335,M3539,35,M,MA,2288.5,369,Yes,Away,38.142
186,41,186,M2024,20,M,ME,2291.8,369,Yes,Maine,38.197
187,1,144,M6064,61,M,CANADA,2292,369,No,Away,38.2
188,8,357,M4549,47,M,ME,2292.6,369,Yes,Maine,38.21
189,14,412,M4044,40,M,ME,2292.8,369,Yes,Maine,38.213
190,33,201,M1519,18,M,ME,2294.8,370,Yes,Maine,38.247
191,33,246,M2529,29,M,ME,2295.5,370,Yes,Maine,38.258
192,11,397,F2529,27,F,VA,2298.3,370,Yes,Away,38.305
193,42,186,M2024,22,M,ME,2302.1,371,Yes,Maine,38.368
194,34,246,M2529,26,M,MA,2302.2,371,Yes,Away,38.37
195,11,335,M3539,39,M,NY,2303.2,371,Yes,Away,38.387
196,15,412,M4044,43,M,ME,2303.5,371,Yes,Maine,38.392
197,43,186,M2024,20,M,ME,2307.6,372,Yes,Maine,38.46
198,3,394,F4044,41,F,ME,2307.9,372,Yes,Maine,38.465
199,3,426,F3539,37,F,ME,2309.1,372,Yes,Maine,38.485
200,21,316,M3034,33,M,ME,2309.8,372,Yes,Maine,38.497
201,1,325,F4549,46,F,MA,2311.6,373,Yes,Away,38.527
202,9,357,M4549,49,M,ME,2315.1,373,Yes,Maine,38.585
203,6,471,F3034,32,F,ME,2315.2,373,Yes,Maine,38.587
204,12,335,M3539,38,M,ME,2316.9,373,Yes,Maine,38.615
205,34,201,M1519,17,M,ME,2317.8,374,Yes,Maine,38.63
206,7,471,F3034,30,F,MA,2321.9,374,Yes,Away,38.698
207,35,201,M1519,18,M,ME,2323.6,374,Yes,Maine,38.727
208,13,335,M3539,35,M,ME,2326.9,375,Yes,Maine,38.782
209,36,201,M1519,18,M,ME,2326.9,375,Yes,Maine,38.782
210,44,186,M2024,22,M,ME,2328,375,Yes,Maine,38.8
211,45,186,M2024,20,M,ME,2328,375,Yes,Maine,38.8
212,35,246,M2529,29,M,ME,2328.7,375,Yes,Maine,38.812
213,5,237,F2024,20,F,ME,2329.9,375,Yes,Maine,38.832
214,8,471,F3034,30,F,MA,2332.5,376,Yes,Away,38.875
215,14,335,M3539,35,M,MA,2334.9,376,Yes,Away,38.915
216,22,316,M3034,34,M,CANADA,2334.9,376,No,Away,38.915
217,10,357,M4549,49,M,ME,2348.9,379,Yes,Maine,39.148
218,37,201,M1519,16,M,VT,2350.5,379,Yes,Away,39.175
219,16,412,M4044,42,M,MA,2350.9,379,Yes,Away,39.182
220,23,316,M3034,30,M,MA,2351.5,379,Yes,Away,39.192
221,46,186,M2024,24,M,ME,2351.9,379,Yes,Maine,39.198
222,12,397,F2529,28,F,MA,2353.2,379,Yes,Away,39.22
223,1,174,F1519,19,F,ME,2354.9,379,Yes,Maine,39.248
224,24,316,M3034,32,M,ME,2355.5,380,Yes,Maine,39.258
225,38,201,M1519,18,M,ME,2355.5,380,Yes,Maine,39.258
226,17,412,M4044,42,M,NY,2355.9,380,Yes,Away,39.265
227,15,335,M3539,37,M,ME,2356.2,380,Yes,Maine,39.27
228,25,316,M3034,30,M,ME,2356.5,380,Yes,Maine,39.275
229,18,412,M4044,40,M,ME,2357.4,380,Yes,Maine,39.29
230,16,335,M3539,35,M,ME,2357.6,380,Yes,Maine,39.293
231,6,237,F2024,24,F,CT,2359.3,380,Yes,Away,39.322
232,11,357,M4549,46,M,ME,2359.4,380,Yes,Maine,39.323
233,5,333,M5054,51,M,MA,2361.3,381,Yes,Away,39.355
234,47,186,M2024,21,M,ME,2361.4,381,Yes,Maine,39.357
235,36,246,M2529,27,M,MA,2362.2,381,Yes,Away,39.37
236,39,201,M1519,17,M,ME,2362.6,381,Yes,Maine,39.377
237,19,412,M4044,40,M,ME,2363.4,381,Yes,Maine,39.39
238,20,412,M4044,41,M,ME,2364.3,381,Yes,Maine,39.405
239,37,246,M2529,27,M,DC,2365.4,381,Yes,Away,39.423
240,9,471,F3034,31,F,MA,2367.4,381,Yes,Away,39.457
241,6,333,M5054,51,M,FL,2368.2,382,Yes,Away,39.47
242,40,201,M1519,17,M,ME,2368.4,382,Yes,Maine,39.473
243,41,201,M1519,18,M,ME,2371.2,382,Yes,Maine,39.52
244,17,335,M3539,38,M,MA,2371.3,382,Yes,Away,39.522
245,18,335,M3539,37,M,ME,2372.2,382,Yes,Maine,39.537
246,42,201,M1519,19,M,VT,2372.3,382,Yes,Away,39.538
247,7,237,F2024,23,F,MA,2375.3,383,Yes,Away,39.588
248,19,335,M3539,39,M,NY,2377.3,383,Yes,Away,39.622
249,21,412,M4044,40,M,ME,2378.1,383,Yes,Maine,39.635
250,8,237,F2024,23,F,ME,2380.3,384,Yes,Maine,39.672
251,12,357,M4549,48,M,MA,2380.9,384,Yes,Away,39.682
252,26,316,M3034,34,M,ME,2381.6,384,Yes,Maine,39.693
253,43,201,M1519,16,M,ME,2382.8,384,Yes,Maine,39.713
254,4,394,F4044,40,F,ME,2383.3,384,Yes,Maine,39.722
255,13,357,M4549,47,M,ME,2385.1,384,Yes,Maine,39.752
256,20,335,M3539,38,M,ME,2387.5,385,Yes,Maine,39.792
257,38,246,M2529,28,M,MA,2387.6,385,Yes,Away,39.793
258,5,235,M5559,58,M,ME,2389.3,385,Yes,Maine,39.822
259,9,237,F2024,24,F,NY,2390.4,385,Yes,Away,39.84
260,14,357,M4549,48,M,ME,2390.9,385,Yes,Maine,39.848
261,15,357,M4549,47,M,ME,2391,385,Yes,Maine,39.85
262,44,201,M1519,16,M,ME,2391.5,385,Yes,Maine,39.858
263,13,397,F2529,26,F,MA,2391.7,385,Yes,Away,39.862
264,48,186,M2024,23,M,ME,2395.4,386,Yes,Maine,39.923
265,39,246,M2529,29,M,TX,2395.5,386,Yes,Away,39.925
266,4,426,F3539,36,F,ME,2398.2,386,Yes,Maine,39.97
267,21,335,M3539,38,M,ME,2398.3,386,Yes,Maine,39.972
268,22,335,M3539,36,M,ME,2399.5,387,Yes,Maine,39.992
269,22,412,M4044,42,M,ME,2399.7,387,Yes,Maine,39.995
270,40,246,M2529,25,M,DC,2399.9,387,Yes,Away,39.998
271,27,316,M3034,33,M,ME,2401.8,387,Yes,Maine,40.03
272,23,412,M4044,41,M,ME,2402.6,387,Yes,Maine,40.043
273,28,316,M3034,33,M,NJ,2403.4,387,Yes,Away,40.057
274,7,333,M5054,54,M,ME,2403.9,387,Yes,Maine,40.065
275,24,412,M4044,41,M,ME,2404.3,387,Yes,Maine,40.072
276,25,412,M4044,43,M,ME,2405.1,388,Yes,Maine,40.085
277,23,335,M3539,37,M,ME,2405.9,388,Yes,Maine,40.098
278,45,201,M1519,15,M,ME,2410,388,Yes,Maine,40.167
279,16,357,M4549,47,M,CT,2410.4,388,Yes,Away,40.173
280,26,412,M4044,40,M,ME,2410.5,388,Yes,Maine,40.175
281,17,357,M4549,47,M,ME,2411.4,389,Yes,Maine,40.19
282,27,412,M4044,40,M,MA,2412.4,389,Yes,Away,40.207
283,28,412,M4044,41,M,ME,2413.7,389,Yes,Maine,40.228
284,41,246,M2529,29,M,NC,2414.6,389,Yes,Away,40.243
285,6,235,M5559,57,M,ME,2414.9,389,Yes,Maine,40.248
286,8,333,M5054,53,M,ME,2415.5,389,Yes,Maine,40.258
287,24,335,M3539,35,M,ME,2415.6,389,Yes,Maine,40.26
288,46,201,M1519,16,M,ME,2415.6,389,Yes,Maine,40.26
289,49,186,M2024,23,M,ME,2415.9,389,Yes,Maine,40.265
290,2,174,F1519,15,F,ME,2418,390,Yes,Maine,40.3
291,1,57,M0114,14,M,ME,2420.8,390,Yes,Maine,40.347
292,5,426,F3539,38,F,ME,2423.2,390,Yes,Maine,40.387
293,47,201,M1519,16,M,ME,2423.4,391,Yes,Maine,40.39
294,48,201,M1519,15,M,ME,2427.4,391,Yes,Maine,40.457
295,49,201,M1519,17,M,PA,2429.1,391,Yes,Away,40.485
296,18,357,M4549,45,M,ME,2429.2,391,Yes,Maine,40.487
297,10,237,F2024,23,F,ME,2429.7,392,Yes,Maine,40.495
298,11,237,F2024,22,F,ME,2431.7,392,Yes,Maine,40.528
299,29,412,M4044,40,M,ME,2434.2,392,Yes,Maine,40.57
300,42,246,M2529,26,M,ME,2434.4,392,Yes,Maine,40.573
301,29,316,M3034,32,M,MA,2434.7,392,Yes,Away,40.578
302,25,335,M3539,38,M,ME,2434.9,392,Yes,Maine,40.582
303,50,201,M1519,15,M,ME,2436,393,Yes,Maine,40.6
304,14,397,F2529,26,F,ME,2436.3,393,Yes,Maine,40.605
305,51,201,M1519,18,M,NY,2436.6,393,Yes,Away,40.61
306,43,246,M2529,25,M,ME,2436.6,393,Yes,Maine,40.61
307,52,201,M1519,17,M,ME,2437.3,393,Yes,Maine,40.622
308,44,246,M2529,28,M,ME,2437.9,393,Yes,Maine,40.632
309,15,397,F2529,27,F,ME,2438.3,393,Yes,Maine,40.638
310,9,333,M5054,51,M,ME,2439.2,393,Yes,Maine,40.653
311,10,333,M5054,50,M,ME,2439.8,393,Yes,Maine,40.663
312,50,186,M2024,20,M,ME,2440.1,393,Yes,Maine,40.668
313,30,316,M3034,34,M,ME,2440.2,393,Yes,Maine,40.67
314,30,412,M4044,44,M,ME,2440.3,393,Yes,Maine,40.672
315,12,237,F2024,23,F,MA,2440.6,393,Yes,Away,40.677
316,26,335,M3539,38,M,ME,2442.1,394,Yes,Maine,40.702
317,53,201,M1519,19,M,ME,2442.6,394,Yes,Maine,40.71
318,3,174,F1519,17,F,ME,2442.8,394,Yes,Maine,40.713
319,54,201,M1519,18,M,ME,2442.8,394,Yes,Maine,40.713
320,27,335,M3539,36,M,ME,2444,394,Yes,Maine,40.733
321,13,237,F2024,22,F,MA,2446.6,394,Yes,Away,40.777
322,51,186,M2024,21,M,ME,2447.3,394,Yes,Maine,40.788
323,45,246,M2529,28,M,ME,2447.5,394,Yes,Maine,40.792
324,55,201,M1519,16,M,ME,2451.7,395,Yes,Maine,40.862
325,31,316,M3034,33,M,ME,2451.8,395,Yes,Maine,40.863
326,46,246,M2529,27,M,PA,2452.3,395,Yes,Away,40.872
327,28,335,M3539,35,M,ME,2453.8,395,Yes,Maine,40.897
328,32,316,M3034,33,M,ME,2456.6,396,Yes,Maine,40.943
329,29,335,M3539,35,M,ME,2457.3,396,Yes,Maine,40.955
330,4,174,F1519,15,F,ME,2457.5,396,Yes,Maine,40.958
331,30,335,M3539,37,M,ME,2458.4,396,Yes,Maine,40.973
332,47,246,M2529,27,M,MA,2459.1,396,Yes,Away,40.985
333,2,57,M0114,13,M,ME,2459.8,396,Yes,Maine,40.997
334,11,333,M5054,52,M,ME,2461.8,397,Yes,Maine,41.03
335,31,335,M3539,37,M,NH,2462.1,397,Yes,Away,41.035
336,48,246,M2529,26,M,MA,2462.3,397,Yes,Away,41.038
337,52,186,M2024,21,M,ME,2464.5,397,Yes,Maine,41.075
338,49,246,M2529,29,M,ME,2466,397,Yes,Maine,41.1
339,19,357,M4549,47,M,ME,2466.2,397,Yes,Maine,41.103
340,53,186,M2024,23,M,ME,2466.4,397,Yes,Maine,41.107
341,1,229,F5054,52,F,ME,2466.5,397,Yes,Maine,41.108
342,32,335,M3539,39,M,MA,2467.4,398,Yes,Away,41.123
343,50,246,M2529,26,M,ME,2467.9,398,Yes,Maine,41.132
344,31,412,M4044,44,M,ME,2468.5,398,Yes,Maine,41.142
345,54,186,M2024,23,M,PA,2468.6,398,Yes,Away,41.143
346,55,186,M2024,20,M,ME,2469,398,Yes,Maine,41.15
347,20,357,M4549,45,M,ME,2469.3,398,Yes,Maine,41.155
348,21,357,M4549,48,M,ME,2470,398,Yes,Maine,41.167
349,33,335,M3539,35,M,RI,2470.9,398,Yes,Away,41.182
350,32,412,M4044,44,M,NH,2471.1,398,Yes,Away,41.185
351,33,412,M4044,42,M,ME,2471.4,398,Yes,Maine,41.19
352,22,357,M4549,48,M,MA,2472.1,398,Yes,Away,41.202
353,2,144,M6064,64,M,ME,2472.6,398,Yes,Maine,41.21
354,34,412,M4044,41,M,ME,2473.1,398,Yes,Maine,41.218
355,34,335,M3539,38,M,ME,2475.3,399,Yes,Maine,41.255
356,35,412,M4044,41,M,ME,2476.6,399,Yes,Maine,41.277
357,23,357,M4549,46,M,ME,2477.3,399,Yes,Maine,41.288
358,24,357,M4549,46,M,ME,2478,399,Yes,Maine,41.3
359,25,357,M4549,45,M,ME,2478,399,Yes,Maine,41.3
360,10,471,F3034,32,F,NC,2479.4,400,Yes,Away,41.323
361,6,426,F3539,37,F,MA,2479.6,400,Yes,Away,41.327
362,51,246,M2529,27,M,ME,2479.7,400,Yes,Maine,41.328
363,36,412,M4044,42,M,ME,2480.2,400,Yes,Maine,41.337
364,37,412,M4044,44,M,ME,2482.2,400,Yes,Maine,41.37
365,35,335,M3539,38,M,ME,2482.5,400,Yes,Maine,41.375
366,33,316,M3034,33,M,MA,2483.5,400,Yes,Away,41.392
367,14,237,F2024,24,F,ME,2485.4,400,Yes,Maine,41.423
368,7,426,F3539,38,F,ME,2485.5,400,Yes,Maine,41.425
369,2,325,F4549,47,F,ME,2485.6,401,Yes,Maine,41.427
370,36,335,M3539,38,M,ME,2486.2,401,Yes,Maine,41.437
371,16,397,F2529,27,F,MA,2487.4,401,Yes,Away,41.457
372,26,357,M4549,48,M,ME,2489.9,401,Yes,Maine,41.498
373,8,426,F3539,39,F,ME,2490,401,Yes,Maine,41.5
374,56,201,M1519,15,M,ME,2490.4,401,Yes,Maine,41.507
375,3,57,M0114,14,M,ME,2491,401,Yes,Maine,41.517
376,38,412,M4044,40,M,ME,2491.3,401,Yes,Maine,41.522
377,7,235,M5559,55,M,NC,2491.4,401,Yes,Away,41.523
378,15,237,F2024,22,F,ME,2491.5,401,Yes,Maine,41.525
379,52,246,M2529,25,M,ME,2491.7,401,Yes,Maine,41.528
380,5,394,F4044,40,F,ME,2493.6,402,Yes,Maine,41.56
381,11,471,F3034,32,F,ME,2494.1,402,Yes,Maine,41.568
382,3,144,M6064,64,M,ME,2494.2,402,Yes,Maine,41.57
383,57,201,M1519,16,M,ME,2495.7,402,Yes,Maine,41.595
384,12,333,M5054,52,M,ME,2495.8,402,Yes,Maine,41.597
385,39,412,M4044,42,M,ME,2497.4,402,Yes,Maine,41.623
386,40,412,M4044,42,M,ME,2498.5,403,Yes,Maine,41.642
387,58,201,M1519,18,M,ME,2499.7,403,Yes,Maine,41.662
388,4,144,M6064,61,M,MA,2500.3,403,Yes,Away,41.672
389,17,397,F2529,27,F,ME,2502.8,403,Yes,Maine,41.713
390,59,201,M1519,19,M,ME,2502.9,403,Yes,Maine,41.715
